Title,Description,Latitude,Longitude
DJIBI_PCO19,DJIBI,5.4065,-3.9794
DJIBI_PCO20,DJIBI,5.4006,-3.9818
DJIBI_PCO21,DJIBI,5.398848,-3.98026
DJIBI_PCO22,DJIBI,5.3984,-3.9796
DJIBI_PCO23,DJIBI,5.3972,-3.9794
DJIBI_PCO24,DJIBI,5.4059,-3.9812
DJIBI_PCO25,DJIBI,5.4072,-3.9814
DJIBI_PCO26,DJIBI,5.408759,-3.97981
DJIBI_PCO27,DJIBI,5.407955,-3.98267
DJIBI_PCO28,DJIBI,5.4088,-3.9872
DJIBI_PCO29,DJIBI,5.4105,-3.9882
DJIBI_PCO30,DJIBI,5.4071,-3.9885
DJIBI_PCO31,DJIBI,5.4055,-3.9876
DJIBI_PCO32,DJIBI,5.3983,-3.9782
DJIBI_PCO33,DJIBI,5.3981,-3.9774
DJIBI_PCO34,DJIBI,5.3988,-3.9771
DJIBI_PCO35,DJIBI,5.3993,-3.9767
DJIBI_PCO36,DJIBI,5.399,-3.9747
DJIBI_PCO37,DJIBI,5.3987,-3.9755
DJIBI_PCO38,DJIBI,5.3947,-3.975
DJIBI_PCO39,DJIBI,5.396,-3.9754
DJIBI_PCO40,DJIBI,5.35358,-3.96971
ALLABRA_PCO101,ALLABRA,5.351712,-3.9682
ALLABRA_PCO102,ALLABRA,5.351383,-3.96715
ALLABRA_PCO103,ALLABRA,5.35486,-3.96637
ALLABRA_PCO104,ALLABRA,5.351889,-3.95874
ALLABRA_PCO51,ALLABRA,5.35624,-3.96041
ALLABRA_PCO52,ALLABRA,5.358818,-3.95567
ALLABRA_PCO53,ALLABRA,5.354612,-3.96171
ALLABRA_PCO54,ALLABRA,5.35574,-3.95429
ALLABRA_PCO62,ALLABRA,5.355907,-3.95779
ALLABRA_PCO63,ALLABRA,5.357297,-3.95641
ALLABRA_PCO64,ALLABRA,5.350597,-3.96178
ALLABRA_PCO71,ALLABRA,5.345508,-3.96135
ALLABRA_PCO72,ALLABRA,5.349018,-3.95649
ALLABRA_PCO73,ALLABRA,5.350108,-3.95814
ALLABRA_PCO74,ALLABRA,5.352137,-3.96176
ALLABRA_PCO91,ALLABRA,5.356025,-3.96412
ALLABRA_PCO92,ALLABRA,5.350818,-3.96346
ALLABRA_PCO93,ALLABRA,5.356025,-3.96412
ALLABRA_PCO94,ALLABRA,5.3522,-3.9741
ALLABRA_PCO11,ALLABRA,5.3533,-3.9617
ALLABRA_PCO05,ALLABRA,5.3562,-3.9606
ALLABRA_PCO06,ALLABRA,5.3568,-3.9641
ALLABRA_PCO07,ALLABRA,5.3523,-3.9576
ALLABRA_PCO33,ALLABRA,5.3524,-3.9577
ALLABRA_PCO34,ALLABRA,5.3479,-3.9552
ALLABRA_PCO35,ALLABRA,5.3523,-3.9553
ALLABRA_PCO36,ALLABRA,5.3536,-3.9712
ALLABRA_PCO37,ALLABRA,5.3533,-3.9741
ALLABRA_PCO38,ALLABRA,5.3517,-3.9724
ALLABRA_PCO39,ALLABRA,5.355255,-3.95975
ALLABRA_PCO50,ALLABRA,5.3557,-3.9545
ALLABRA_PCO511,ALLABRA,5.356835,-3.95641
ALLABRA_PCO512,ALLABRA,5.372369,-3.97246
LAURIER7_PCO01,LAURIER 7,5.3722,-3.9725
LAURIER7_PCO02,LAURIER 7,5.3726,-3.9706
LAURIER7_PCO03,LAURIER 7,5.3688,-3.971
LAURIER7_PCO47,LAURIER 7,5.3704,-3.9686
LAURIER7_PCO04,LAURIER 7,5.3672,-3.9697
LAURIER7_PCO05,LAURIER 7,5.3678,-3.9687
LAURIER7_PCO06,LAURIER 7,5.3727,-3.9672
LAURIER7_PCO07,LAURIER 7,5.3711,-3.9657
LAURIER7_PCO08,LAURIER 7,5.3709,-3.9702
LAURIER7_PCO09,LAURIER 7,5.3697,-3.9643
LAURIER7_PCO10,LAURIER 7,5.368274,-3.96625
LAURIER7_PCO11,LAURIER 7,5.3628,-3.9654
LAURIER7_PCO12,LAURIER 7,5.3641,-3.963
LAURIER7_PCO13,LAURIER 7,5.366,-3.9652
LAURIER7_PCO14,LAURIER 7,5.3646,-3.9575
LAURIER7_PCO15,LAURIER 7,5.3676,-3.9639
LAURIER7_PCO16,LAURIER 7,5.3644,-3.9688
LAURIER7_PCO17,LAURIER 7,5.3611,-3.971
LAURIER7_PCO18,LAURIER 7,5.3597,-3.9743
LAURIER7_PCO19,LAURIER 7,5.3596,-3.9746
LAURIER7_PCO52,LAURIER 7,5.3664,-3.9559
LAURIER7_PCO20,LAURIER 7,5.3744,-3.9664
LAURIER7_PCO22,LAURIER 7,5.3727,-3.9657
LAURIER7_PCO23,LAURIER 7,5.377,-3.9673
LAURIER7_PCO24,LAURIER 7,5.3787,-3.969
LAURIER7_PCO25,LAURIER 7,5.3783,-3.9655
LAURIER7_PCO26,LAURIER 7,5.3812,-3.9643
LAURIER7_PCO27,LAURIER 7,5.3805,-3.9659
LAURIER7_PCO28,LAURIER 7,5.3755,-3.9622
LAURIER7_PCO29,LAURIER 7,5.3806,-3.9587
LAURIER7_PCO30,LAURIER 7,5.3766,-3.9606
LAURIER7_PCO46,LAURIER 7,5.3742,-3.9709
LAURIER7_PCO31,LAURIER 7,5.3759,-3.9673
LAURIER7_PCO33,LAURIER 7,5.3741,-3.9695
LAURIER7_PCO34,LAURIER 7,5.378,-3.9719
LAURIER7_PCO35,LAURIER 7,5.3753,-3.9736
LAURIER7_PCO51,LAURIER 7,5.3907,-3.9765
LAURIER7_PCO39,LAURIER 7,5.3823,-3.9766
LAURIER7_PCO41,LAURIER 7,5.3839,-3.9741
LAURIER7_PCO42,LAURIER 7,5.3783,-3.9754
LAURIER7_PCO54,LAURIER 7,5.3834,-3.9717
LAURIER7_PCO43,LAURIER 7,5.3824,-3.9763
LAURIER7_PCO415,LAURIER 7,5.3811,-3.9688
LAURIER7_PCO44,LAURIER 7,5.3811,-3.9688
LAURIER7_PCO416,LAURIER 7,5.365,-3.958
LAURIER7_PCO48,LAURIER 7,5.368,-3.9588
LAURIER7_PCO49,LAURIER 7,5.3707,-3.9598
LAURIER7_PCO50,LAURIER 7,5.3683,-3.9567
LAURIER7_PCO53,LAURIER 7,5.3695,-3.9537
LAURIER7_PCO88,LAURIER 7,5.368,-3.9724
LAURIER7_PCO56,LAURIER 7,5.3706,-3.9728
LAURIER7_PCO57,LAURIER 7,5.3673,-3.9593
LAURIER7_PCO64,LAURIER 7,5.3635,-3.9586
LAURIER7_PCO65,LAURIER 7,5.3654,-3.9565
LAURIER7_PCO66,LAURIER 7,5.3681,-3.9564
LAURIER7_PCO67,LAURIER 7,5.3595,-3.9704
LAURIER7_PCO68,LAURIER 7,5.3565,-3.9755
LAURIER7_PCO69,LAURIER 7,5.3559,-3.9784
LAURIER7_PCO70,LAURIER 7,5.3602,-3.9684
LAURIER7_PCO71,LAURIER 7,5.3743,-3.9597
LAURIER7_PCO72,LAURIER 7,5.3719,-3.958
LAURIER7_PCO73,LAURIER 7,5.3804,-3.9644
LAURIER7_PCO74,LAURIER 7,5.3767,-3.9716
LAURIER7_PCO32,LAURIER 7,5.3776,-3.9705
LAURIER7_PCO36,LAURIER 7,5.3763,-3.9705
LAURIER7_PCO37,LAURIER 7,5.379,-3.9701
LAURIER7_PCO38,LAURIER 7,5.3822,-3.9783
LAURIER7_PCO40,LAURIER 7,5.3799,-3.9713
LAURIER7_PCO45,LAURIER 7,5.3715,-3.9731
LAURIER7_PCO58,LAURIER 7,5.3729,-3.9732
LAURIER7_PCO59,LAURIER 7,5.3619,-3.9638
LAURIER7_PCO21,LAURIER 7,5.3645,-3.9684
LAURIER7_PCO60,LAURIER 7,5.3589,-3.9672
LAURIER7_PCO61,LAURIER 7,5.3647,-3.9647
LAURIER7_PCO62,LAURIER 7,5.3657,-3.9626
LAURIER7_PCO63,LAURIER 7,5.3742,-3.9625
LAURIER7_PCO76,LAURIER 7,5.382,-3.9659
LAURIER7_PCO75,LAURIER 7,5.3802,-3.9588
LAURIER7_PCO77,LAURIER 7,5.3728,-3.9637
LAURIER7_PCO78,LAURIER 7,5.4072,-3.9938
STAR_PCO01,STAR,5.4093,-3.9935
STAR_PCO02,STAR,5.4065,-3.9924
STAR_PCO03,STAR,5.4105,-3.9959
STAR_PCO04,STAR,5.4119,-3.9937
STAR_PCO05,STAR,5.4126,-3.9937
STAR_PCO06,STAR,5.4101,-3.9904
STAR_PCO07,STAR,5.4119,-3.9914
STAR_PCO08,STAR,5.4103,-3.9895
STAR_PCO09,STAR,5.4102,-3.9889
STAR_PCO10,STAR,5.4073,-3.9902
STAR_PCO11,STAR,5.4054,-3.9907
STAR_PCO12,STAR,5.404,-3.9912
STAR_PCO13,STAR,5.4057,-3.9902
STAR_PCO14,STAR,5.408,-3.9888
STAR_PCO15,STAR,5.4131,-3.9923
STAR_PCO14,STAR,5.4134,-3.9906
STAR_PCO15,STAR,5.3985,-3.9979
STAR_PCO45,STAR,5.4115,-3.9877
STAR_PCO16,STAR,5.4121,-3.9867
STAR_PCO17,STAR,5.4148,-3.9844
STAR_PCO17d,STAR,5.4048,-3.9922
STAR_PCO18,STAR,5.405,-3.9944
STAR_PCO19,STAR,5.4054,-3.9939
STAR_PCO20,STAR,5.4056,-3.9927
STAR_PCO21,STAR,5.4014,-3.9955
STAR_PCO22,STAR,5.4012,-3.9976
STAR_PCO23,STAR,5.4035,-3.9969
STAR_PCO60,STAR,5.4044,-3.998
STAR_PCO24,STAR,5.4028,-3.9974
STAR_PCO24d,STAR,5.403131,-3.99247
STAR_PCO25,STAR,5.371617,-3.99744
STAR_PCO26,STAR,5.401814,-3.99375
STAR_PCO27,STAR,5.402517,-3.99517
STAR_PCO28,STAR,5.397398,-3.99602
STAR_PCO29,STAR,5.394994,-3.99839
STAR_PCO30,STAR,5.398868,-3.99777
STAR_PCO31,STAR,5.3939,-3.9955
STAR_PCO63,STAR,5.393159,-3.9986
STAR_PCO32,STAR,5.3933,-3.9986
STAR_PCO33,STAR,5.4037,-3.9857
STAR_PCO34,STAR,5.4017,-3.9888
STAR_PCO35,STAR,5.4005,-3.991
STAR_PCO36,STAR,5.4009,-3.9877
STAR_PCO37,STAR,5.3981,-3.9906
STAR_PCO38,STAR,5.3931,-3.9946
STAR_PCO39,STAR,5.363613,-3.99385
STAR_PCO40,STAR,5.3971,-3.9955
STAR_PCO41,STAR,5.3887,-4.002
STAR_PCO42d,STAR,5.4001,-3.9887
STAR_PCO42,STAR,5.4013,-3.9864
STAR_PCO43,STAR,5.403146,-3.98781
STAR_PCO45,STAR,5.3976,-3.998
STAR_PCO46,STAR,5.3979,-4
STAR_PCO47,STAR,5.3933,-3.9995
STAR_PCO54,STAR,5.3978,-3.9959
STAR_PCO48,STAR,5.3991,-3.9992
STAR_PCO49,STAR,5.4053,-4.0035
STAR_PCO50,STAR,5.4023,-4.004
STAR_PCO51,STAR,5.4021,-4.0041
STAR_PCO52,STAR,5.4019,-4.0027
STAR_PCO53,STAR,5.4121,-3.9962
STAR_PCO56,STAR,5.4113,-3.9944
STAR_PCO57,STAR,5.4133,-3.9944
STAR_PCO58,STAR,5.4133,-3.9937
STAR_PCO59,STAR,5.3892,-3.9974
7emeTRANCHE_PCO01,7eme TRANCHE,5.3902,-3.9949
7emeTRANCHE_PCO02,7eme TRANCHE,5.3873,-3.9958
7emeTRANCHE_PCO03,7eme TRANCHE,5.3887,-3.9928
7emeTRANCHE_PCO04,7eme TRANCHE,5.3945,-3.9957
7emeTRANCHE_PCO05,7eme TRANCHE,5.3945,-3.9943
7emeTRANCHE_PCO06,7eme TRANCHE,5.3928,-3.9932
7emeTRANCHE_PCO07,7eme TRANCHE,5.3944,-3.9898
7emeTRANCHE_PCO08,7eme TRANCHE,5.384942,-3.99122
7emeTRANCHE_PCO11,7eme TRANCHE,5.387713,-3.99175
7emeTRANCHE_PCO12,7eme TRANCHE,5.386266,-3.98915
7emeTRANCHE_PCO13,7eme TRANCHE,5.3842,-3.9921
7emeTRANCHE_PCO09,7eme TRANCHE,5.3824,-3.9913
7emeTRANCHE_PCO10,7eme TRANCHE,5.391134,-3.98856
7emeTRANCHE_PCO26,7eme TRANCHE,5.39095,-3.98656
7emeTRANCHE_PCO27,7eme TRANCHE,5.387544,-3.98535
7emeTRANCHE_PCO28,7eme TRANCHE,5.3883,-3.9897
7emeTRANCHE_PCO29,7eme TRANCHE,5.393913,-3.98654
7emeTRANCHE_PCO18,7eme TRANCHE,5.396697,-3.98851
7emeTRANCHE_PCO19,7eme TRANCHE,5.39735,-3.98256
7emeTRANCHE_PCO20,7eme TRANCHE,5.39735,-3.9789
7emeTRANCHE_PCO42,7eme TRANCHE,5.393715,-3.98461
7emeTRANCHE_PCO21,7eme TRANCHE,5.396,-3.9811
7emeTRANCHE_PCO23,7eme TRANCHE,5.3923,-3.9808
7emeTRANCHE_PCO22,7eme TRANCHE,5.3948,-3.9799
7emeTRANCHE_PCO24,7eme TRANCHE,5.3924,-3.97785
7emeTRANCHE_PCO25,7eme TRANCHE,5.3778,-3.9874
7emeTRANCHE_PCO14,7eme TRANCHE,5.3824,-3.9896
7emeTRANCHE_PCO15,7eme TRANCHE,5.3818,-3.9862
7emeTRANCHE_PCO16,7eme TRANCHE,5.3803,-3.9842
7emeTRANCHE_PCO17,7eme TRANCHE,5.3829,-3.9877
7emeTRANCHE_PCO44,7eme TRANCHE,5.379,-3.9872
7emeTRANCHE_PCO43,7eme TRANCHE,5.3949,-3.9732
7emeTRANCHE_PCO37,7eme TRANCHE,5.3937,-3.9736
7emeTRANCHE_PCO34,7eme TRANCHE,5.3883,-3.9841
7emeTRANCHE_PCO30,7eme TRANCHE,5.3852,-3.9848
7emeTRANCHE_PCO31,7eme TRANCHE,5.3822,-3.9844
7emeTRANCHE_PCO47,7eme TRANCHE,5.3904,-3.9783
7emeTRANCHE_PCO38,7eme TRANCHE,5.3889,-3.9806
7emeTRANCHE_PCO39,7eme TRANCHE,5.3897,-3.9766
7emeTRANCHE_PCO40,7eme TRANCHE,5.3914,-3.9814
7emeTRANCHE_PCO41,7eme TRANCHE,5.373,-3.9078
JULESVERNE_PCO01,JULES VERNE,5.3683,-3.9065
JULESVERNE_PCO02,JULES VERNE,5.3755,-3.9129
JULESVERNE_PCO45,JULES VERNE,5.3792,-3.9116
JULESVERNE_PCO46,JULES VERNE,5.3828,-3.9118
JULESVERNE_PCO03,JULES VERNE,5.3809,-3.9127
JULESVERNE_PCO05,JULES VERNE,5.3861,-3.9132
JULESVERNE_PCO06,JULES VERNE,5.3825,-3.9066
JULESVERNE_PCO07,JULES VERNE,5.383,-3.9141
JULESVERNE_PCO08,JULES VERNE,5.3943,-3.9101
JULESVERNE_PCO09,JULES VERNE,5.3926,-3.911
JULESVERNE_PCO10,JULES VERNE,5.396,-3.9061
JULESVERNE_PCO11,JULES VERNE,5.3958,-3.9016
JULESVERNE_PCO35,JULES VERNE,5.3928,-3.9105
JULESVERNE_PCO12,JULES VERNE,5.3835,-3.9328
JULESVERNE_PCO25,JULES VERNE,5.3791,-3.9363
JULESVERNE_PCO26,JULES VERNE,5.3743,-3.925
JULESVERNE_PCO47,JULES VERNE,5.3713,-3.938
JULESVERNE_PCO27,JULES VERNE,5.3746,-3.9271
JULESVERNE_PCO54,JULES VERNE,5.3901,-3.9303
JULESVERNE_PCO28,JULES VERNE,5.3893,-3.9256
JULESVERNE_PCO29,JULES VERNE,5.3916,-3.9215
JULESVERNE_PCO30,JULES VERNE,5.3833,-3.9198
JULESVERNE_PCO48,JULES VERNE,5.3941,-3.9046
JULESVERNE_PCO13,JULES VERNE,5.396,-3.9051
JULESVERNE_PCO14,JULES VERNE,5.3933,-3.9048
JULESVERNE_PCO15,JULES VERNE,5.3943,-3.9036
JULESVERNE_PCO16,JULES VERNE,5.3957,-3.9053
JULESVERNE_PCO17,JULES VERNE,5.3947,-3.9042
JULESVERNE_PCO18,JULES VERNE,5.3932,-3.9042
JULESVERNE_PCO19,JULES VERNE,5.3954,-3.9033
JULESVERNE_PCO20,JULES VERNE,5.3946,-3.9055
