pco_id;sro;localisation;lat;lon;geom;address
ABATTA_PCO33;ABATTA;Carrefour Mondiale béton;5.345865;-3.92062;5.346008,-3.926131;Bingerville, Abidjan, Côte d’Ivoire
ABATTA_PCO34;ABATTA;Devant la Cité ORIBAT 4;5.368936;-3.93412;5.345865,-3.920623;Abatta BCEAO, Bingerville, Abidjan, Côte d’Ivoire
ABATTA_PCO91;ABATTA;Faya derriere la cite Laurier 9;5.367966;-3.93419;5.368936,-3.934116;Faya Saint Paul, Genie 2000, Cocody, Abidjan, Côte d’Ivoire
ABATTA_PCO92;ABATTA;Faya derriere la cite Laurier 9;5.369897;-3.92536;5.367966,-3.934186;Faya Saint Paul, Genie 2000, Cocody, Abidjan, Côte d’Ivoire
ABATTA_PCO93;ABATTA;Cite SYNATRESOR;5.371006;-3.92616;5.369897,-3.92536;6, Avenue Djedje Mama O. S., Cité Synatresor, Genie 2000, Cocody, Abidjan, Côte d’Ivoire
ABATTA_PCO94;ABATTA;Cite SYNATRESOR;5.368358;-3.92174;5.371006,-3.926162;8, Rue Kouame Boidou Franck, Cité Synatresor, Genie 2000, Cocody, Abidjan, Côte d’Ivoire
ABATTA_PCO101;ABATTA;Quatier en face de SYNATRESOR;5.362821;-3.92741;5.368358,-3.921735;Résidence Fiba, Genie 2000, Cocody, Abidjan, Côte d’Ivoire
ABATTA_PCO102;ABATTA;CITE SYNATRESOR;5.340124;-3.92227;5.362821,-3.927409;Lauriers 9, Genie 2000, Bingerville, Abidjan, Côte d’Ivoire
ABATTA_PCO103;ABATTA;CITE SYNATRESOR;5.368965;-3.91846;5.340124,-3.922274;Oribat Cité Don Mello, Bingerville, Abidjan, Côte d’Ivoire
ABATTA_PCO104;ABATTA;CITE SYNATRESOR;5.357192;-3.92646;5.368965,-3.918457;Résidence Fiba, Genie 2000, Cocody, Abidjan, Côte d’Ivoire
ABATTA_PCO01;ABATTA;Abatta après AB Center;5.356732;-3.92761;5.357192,-3.926459;Akouédo Attié, Bingerville, Abidjan, Côte d’Ivoire
ABATTA_PCO02;ABATTA;Derrière la station Petroci;5.357405;-3.92879;5.356732,-3.927612;Akouédo Attié, Bingerville, Abidjan, Côte d’Ivoire
ABATTA_PCO03;ABATTA;Eglise catholique sainte Anne;5.355964;-3.92859;5.357405,-3.928788;Akouédo Attié, Bingerville, Abidjan, Côte d’Ivoire
ABATTA_PCO04;ABATTA;Coté Winner chapel;5.355025;-3.92579;5.355964,-3.928587;Akouédo Attié, Bingerville, Abidjan, Côte d’Ivoire
ABATTA_PCO05;ABATTA;Carrefour Drogba;5.354965;-3.92712;5.355025,-3.925787;Abatta Cité Police, Ogriville, Bingerville, Abidjan, Côte d’Ivoire
ABATTA_PCO06;ABATTA;Carrefour Drogba;5.354324;-3.92828;5.354965,-3.927115;Akouédo Attié, Bingerville, Abidjan, Côte d’Ivoire
ABATTA_PCO07;ABATTA;Carrefour Drogba;5.354933;-3.92897;5.354324,-3.928275;Akouédo Attié, Bingerville, Abidjan, Côte d’Ivoire
ABATTA_PCO08;ABATTA;Carrefour Drogba;5.356218;-3.92421;5.354933,-3.928968;Akouédo Attié, Bingerville, Abidjan, Côte d’Ivoire
ABATTA_PCO09;ABATTA;Après laPharmacie eau vive;5.355635;-3.92304;5.356218,-3.92421;Abatta Cité Police, Ogriville, Bingerville, Abidjan, Côte d’Ivoire
ABATTA_PCO10;ABATTA;Quartier Venuzia;5.353118;-3.92282;5.355635,-3.92304;Abatta Cité Police, Ogriville, Bingerville, Abidjan, Côte d’Ivoire
ABATTA_PCO111;ABATTA;Quartier Venuzia;5.351715;-3.92233;5.353118,-3.922819;Abatta Cité Police, Ogriville, Bingerville, Abidjan, Côte d’Ivoire
ABATTA_PCO112;ABATTA;Quartier Venuzia;5.367026;-3.93423;5.351715,-3.92233;Abatta Cité Police, Bingerville, Abidjan, Côte d’Ivoire
ABATTA_PCO113;ABATTA;Coté Faya cité Laurier 9;5.365261;-3.93377;5.367026,-3.934227;Faya Saint Paul, Genie 2000, Cocody, Abidjan, Côte d’Ivoire
ABATTA_PCO114;ABATTA;Coté Faya cité Laurier 9;5.368306;-3.93516;5.365261,-3.933771;Faya Saint Paul, Genie 2000, Cocody, Abidjan, Côte d’Ivoire
ABATTA_PCO15;ABATTA;Coté Faya cité Laurier 9;5.369484;-3.93429;5.368306,-3.935157;Faya Saint Paul, Genie 2000, Cocody, Abidjan, Côte d’Ivoire
ABATTA_PCO16;ABATTA;Coté Faya cité Laurier 9;5.362138;-3.9289;5.369484,-3.934291;Faya Saint Paul, Genie 2000, Cocody, Abidjan, Côte d’Ivoire
ABATTA_PCO17;ABATTA;ABATTA Base CIE;5.361448;-3.93025;5.362138,-3.928895;Lauriers 9, Bingerville, Abidjan, Côte d’Ivoire
ABATTA_PCO18;ABATTA;ABATTA Base CIE;5.359952;-3.9311;5.361448,-3.930248;Ancienne Route de Bingerville, Lauriers 9, Bingerville, Abidjan, Côte d’Ivoire
ABATTA_PCO19;ABATTA;ABATTA Base CIE;5.35957;-3.93052;5.359952,-3.931103;Akouédo Attié, Bingerville, Abidjan, Côte d’Ivoire
ABATTA_PCO200;ABATTA;ABATTA Base CIE;5.362541;-3.92728;5.35957,-3.93052;Akouédo Attié, Bingerville, Abidjan, Côte d’Ivoire
ABATTA_PCO211;ABATTA;LAURIER8;5.366142;-3.93058;5.362541,-3.927279;Lauriers 9, Bingerville, Abidjan, Côte d’Ivoire
ABATTA_PCO212;ABATTA;LAURIER8;5.367454;-3.92945;5.366142,-3.930575;Faya Saint Paul, Genie 2000, Cocody, Abidjan, Côte d’Ivoire
ABATTA_PCO213;ABATTA;LAURIER8;5.369979;-3.93246;5.367454,-3.929448;Faya Saint Paul, Genie 2000, Cocody, Abidjan, Côte d’Ivoire
ABATTA_PCO214;ABATTA;LAURIER8;5.338236;-3.91628;5.369979,-3.932458;Faya Saint Paul, Genie 2000, Cocody, Abidjan, Côte d’Ivoire
ABATTA_PCO291;ABATTA;ORIBAT 44 LOGEMENT;5.339348;-3.91598;5.338236,-3.916277;Abatta BCEAO, Bingerville, Abidjan, Côte d’Ivoire
ABATTA_PCO301;ABATTA;ORIBAT 44 LOGEMENT;5.339431;-3.91493;5.339348,-3.915981;Abatta BCEAO, Bingerville, Abidjan, Côte d’Ivoire
ABATTA_PCO311;ABATTA;ORIBAT 44 LOGEMENT;5.339959;-3.91405;5.339431,-3.914933;Abatta BCEAO, Bingerville, Abidjan, Côte d’Ivoire
ABATTA_PCO321;ABATTA;ORIBAT 44 LOGEMENT;5.367915;-3.91853;5.339959,-3.914047;Abatta BCEAO, Bingerville, Abidjan, Côte d’Ivoire
ABATTA_PCO331;ABATTA;SYNATRESOR;5.365701;-3.91717;5.367915,-3.918525;Résidence Fiba, Genie 2000, Cocody, Abidjan, Côte d’Ivoire
ABATTA_PCO341;ABATTA;SYNATRESOR;5.370032;-3.91956;5.365701,-3.917174;Genie 2000, Cocody, Abidjan, Côte d’Ivoire
ABATTA_PCO351;ABATTA;SYNATRESOR;5.368823;-3.92012;5.370032,-3.919564;Résidence Fiba, Genie 2000, Cocody, Abidjan, Côte d’Ivoire
ABATTA_PCO361;ABATTA;SYNATRESOR;5.32815;-3.91852;5.368823,-3.920121;Résidence Fiba, Genie 2000, Cocody, Abidjan, Côte d’Ivoire
